,annotators,total1,total2,match2,agreed_overlap,disagreed_overlap,only_anno1,only_anno2,pmcid
294,"A,B",181,183,181,0,0,0,2,PMC3599585
295,"A,C",181,181,181,0,0,0,0,PMC3599585
296,"B,C",183,181,181,0,0,2,0,PMC3599585
297,"A,B",144,144,144,0,0,0,0,PMC4871916
298,"A,C",144,144,144,0,0,0,0,PMC4871916
299,"B,C",144,144,144,0,0,0,0,PMC4871916
300,"A,B",426,426,425,1,0,0,0,PMC5891899
301,"A,C",426,426,425,0,0,1,1,PMC5891899
302,"B,C",426,426,424,1,0,1,1,PMC5891899
303,"A,B",137,137,137,0,0,0,0,PMC3478264
304,"A,C",137,137,137,0,0,0,0,PMC3478264
305,"B,C",137,137,137,0,0,0,0,PMC3478264
306,"A,B",107,107,107,0,0,0,0,PMC4940692
307,"A,C",107,107,107,0,0,0,0,PMC4940692
308,"B,C",107,107,107,0,0,0,0,PMC4940692
309,"A,B",223,224,222,1,0,0,1,PMC5641157
310,"A,C",223,224,223,0,0,0,1,PMC5641157
311,"B,C",224,224,223,1,0,0,0,PMC5641157
312,"A,B",228,228,227,0,0,1,1,PMC4841026
313,"A,C",228,228,228,0,0,0,0,PMC4841026
314,"B,C",228,228,227,0,0,1,1,PMC4841026
315,"A,B",107,107,95,0,0,0,0,PMC5004205
316,"A,C",107,107,95,0,0,0,0,PMC5004205
317,"B,C",107,107,95,0,0,0,0,PMC5004205
318,"A,B",464,464,461,1,0,0,0,PMC3464611
319,"A,C",464,463,459,2,0,1,0,PMC3464611
320,"B,C",464,463,460,1,0,1,0,PMC3464611
321,"A,B",42,42,42,0,0,0,0,PMC3439437
322,"A,C",42,42,42,0,0,0,0,PMC3439437
323,"B,C",42,42,42,0,0,0,0,PMC3439437
324,"A,B",94,94,94,0,0,0,0,PMC3960246
325,"A,C",94,94,90,4,0,0,0,PMC3960246
326,"B,C",94,94,90,4,0,0,0,PMC3960246
327,"A,B",78,78,78,0,0,0,0,PMC4906686
328,"A,C",78,78,78,0,0,0,0,PMC4906686
329,"B,C",78,78,78,0,0,0,0,PMC4906686
330,"A,B",94,94,94,0,0,0,0,PMC3751948
331,"A,C",94,94,94,0,0,0,0,PMC3751948
332,"B,C",94,94,94,0,0,0,0,PMC3751948
333,"A,B",90,90,90,0,0,0,0,PMC5770482
334,"A,C",90,90,90,0,0,0,0,PMC5770482
335,"B,C",90,90,90,0,0,0,0,PMC5770482
336,"A,B",204,204,203,1,0,0,0,PMC5889178
337,"A,C",204,204,203,1,0,0,0,PMC5889178
338,"B,C",204,204,204,0,0,0,0,PMC5889178
339,"A,B",523,495,487,2,0,34,6,PMC4294342
340,"A,C",523,529,521,2,0,0,6,PMC4294342
341,"B,C",495,529,495,0,0,0,34,PMC4294342
342,"A,B",791,792,786,4,1,0,0,PMC2639708
343,"A,C",791,791,789,0,2,0,0,PMC2639708
344,"B,C",792,791,786,4,1,0,0,PMC2639708
345,"A,B",70,70,70,0,0,0,0,PMC4237798
346,"A,C",70,70,70,0,0,0,0,PMC4237798
347,"B,C",70,70,70,0,0,0,0,PMC4237798
348,"A,B",345,345,343,2,0,0,0,PMC5779698
349,"A,C",345,346,342,3,0,0,0,PMC5779698
350,"B,C",345,346,344,1,0,0,0,PMC5779698
351,"A,B",162,163,162,0,0,0,1,PMC5921292
352,"A,C",162,163,162,0,0,0,1,PMC5921292
353,"B,C",163,163,163,0,0,0,0,PMC5921292
354,"A,B",540,540,540,0,0,0,0,PMC3316545
355,"A,C",540,540,540,0,0,0,0,PMC3316545
356,"B,C",540,540,540,0,0,0,0,PMC3316545
357,"A,B",247,247,246,1,0,0,0,PMC5106849
358,"A,C",247,247,246,1,0,0,0,PMC5106849
359,"B,C",247,247,247,0,0,0,0,PMC5106849
360,"A,B",521,511,510,0,1,10,0,PMC3542345
361,"A,C",521,514,514,0,0,7,0,PMC3542345
362,"B,C",511,514,510,0,1,0,3,PMC3542345
363,"A,B",381,387,377,1,1,2,8,PMC3899050
364,"A,C",381,387,377,2,0,2,8,PMC3899050
365,"B,C",387,387,385,1,1,0,0,PMC3899050
366,"A,B",99,99,99,0,0,0,0,PMC3836913
367,"A,C",99,99,99,0,0,0,0,PMC3836913
368,"B,C",99,99,99,0,0,0,0,PMC3836913
369,"A,B",188,188,188,0,0,0,0,PMC5082793
370,"A,C",188,188,188,0,0,0,0,PMC5082793
371,"B,C",188,188,188,0,0,0,0,PMC5082793
372,"A,B",157,157,157,0,0,0,0,PMC3228540
373,"A,C",157,157,157,0,0,0,0,PMC3228540
374,"B,C",157,157,157,0,0,0,0,PMC3228540
375,"A,B",10,10,10,0,0,0,0,PMC4971634
376,"A,C",10,10,10,0,0,0,0,PMC4971634
377,"B,C",10,10,10,0,0,0,0,PMC4971634
378,"A,B",574,574,574,0,0,0,0,PMC5278426
379,"A,C",574,574,574,0,0,0,0,PMC5278426
380,"B,C",574,574,574,0,0,0,0,PMC5278426
381,"A,B",140,141,138,2,0,0,0,PMC4647564
382,"A,C",140,140,138,2,0,0,0,PMC4647564
383,"B,C",141,140,140,0,0,0,0,PMC4647564
384,"A,B",55,56,52,3,0,0,1,PMC5680628
385,"A,C",55,89,49,3,0,3,37,PMC5680628
386,"B,C",56,89,53,0,0,3,36,PMC5680628
387,"A,B",61,61,61,0,0,0,0,PMC3494018
388,"A,C",61,61,61,0,0,0,0,PMC3494018
389,"B,C",61,61,61,0,0,0,0,PMC3494018
390,"A,B",531,538,525,5,1,0,7,PMC4531540
391,"A,C",531,537,528,1,0,2,7,PMC4531540
392,"B,C",538,537,531,4,1,2,0,PMC4531540
393,"A,B",44,44,39,0,0,0,0,PMC3322675
394,"A,C",44,44,39,0,0,0,0,PMC3322675
395,"B,C",44,44,39,0,0,0,0,PMC3322675
396,"A,B",507,508,487,5,0,0,2,PMC4542470
397,"A,C",507,511,483,11,0,0,3,PMC4542470
398,"B,C",508,511,489,6,0,0,1,PMC4542470
399,"A,B",894,888,719,8,2,10,4,PMC5120353
400,"A,C",894,890,732,1,0,3,0,PMC5120353
401,"B,C",888,890,718,9,2,4,7,PMC5120353
402,"A,B",17,17,17,0,0,0,0,PMC6069223
403,"A,C",17,17,17,0,0,0,0,PMC6069223
404,"B,C",17,17,17,0,0,0,0,PMC6069223
405,"A,B",0,0,0,0,0,0,0,PMC3291930
406,"A,C",0,0,0,0,0,0,0,PMC3291930
407,"B,C",0,0,0,0,0,0,0,PMC3291930
408,"A,B",119,120,118,1,1,0,0,PMC4128749
409,"A,C",119,120,118,1,1,0,0,PMC4128749
410,"B,C",120,120,120,0,0,0,0,PMC4128749
411,"A,B",150,150,148,0,0,0,0,PMC4764649
412,"A,C",150,150,148,0,0,0,0,PMC4764649
